"name","slug","description","parent","TERMID"
"Texas->Addison","addison",,"57","52"
"Tips->Moving Tips->After Moving Tips","after-moving-tips",,"8","28"
"Checklist->Moving Checklist->After Moving Tips","after-moving-tips-moving-checklist",,"18","30"
"Arizona","arizona",,0,"35"
"Texas->Arlington","arlington",,"57","40"
"Illinois->Aurora","aurora",,"86","87"
"Texas->Austin","austin",,"57","41"
"Maryland->Baltimore","baltimore",,"90","91"
"New Jersey->Basking Ridge","basking-ridge",,"144","184"
"New Jersey->Bayonne","bayonne",,"144","178"
"New York->Bellmore","bellmore",,"101","133"
"New Jersey->Belmar","belmar",,"144","174"
"New Jersey->Berkeley Heights","berkeley-heights",,"144","177"
"Maryland->Bowie","bowie",,"90","94"
"New Jersey->Branchburg","branchburg",,"144","197"
"Connecticut->Bridgeport","bridgeport",,"67","68"
"New Jersey->Bridgewater","bridgewater",,"144","145"
"New York->Bronxville","bronxville",,"101","119"
"New York->Brooklyn","brooklyn",,"101","102"
"Guides->Budget Moving","budget-moving",,"3","13"
"California","california",,0,"58"
"California->California","california-california",,"58","59"
"New York->Carmel","carmel",,"101","127"
"New Jersey->Chatham","chatham",,"144","146"
"Checklist","checklist",,0,"17"
"New Jersey->Cherry Hill","cherry-hill",,"144","206"
"New York->Clarkstown","clarkstown",,"101","140"
"Colorado","colorado",,0,"63"
"Colorado->Colorado","colorado-colorado",,"63","64"
"Colorado->Colorado Springs","colorado-springs",,"63","66"
"New Jersey->Colts Neck","colts-neck",,"144","193"
"Tips->Moving Tips->Company Moving Tips","company-moving-tips",,"8","34"
"Connecticut","connecticut",,0,"67"
"New York->Cortland","cortland",,"101","122"
"New Jersey->Cranford","cranford",,"144","169"
"Texas->Dallas","dallas",,"57","42"
"Connecticut->Darien","darien",,"67","71"
"Delaware","delaware",,0,"76"
"Colorado->Denver","denver",,"63","65"
"Michigan->Detroit","detroit",,"97","98"
"New Jersey->East Orange","east-orange",,"144","147"
"New Jersey->East Rutherford","east-rutherford",,"144","167"
"New Jersey->East Windsor","east-windsor",,"144","176"
"New York->Eastchester","eastchester",,"101","124"
"New Jersey->Eatontown","eatontown",,"144","164"
"New Jersey->Edison","edison",,"144","148"
"New Jersey->Elizabeth","elizabeth",,"144","149"
"Tips->Moving Tips->Employee Relocation","employee-relocation",,"8","29"
"New Jersey->Englewood Cliffs","englewood-cliffs",,"144","179"
"New Jersey->Fair Lawn","fair-lawn",,"144","150"
"Connecticut->Fairfield","fairfield",,"67","75"
"New York->Floral Park","floral-park",,"101","136"
"Florida","florida",,0,"78"
"Texas->Flower Mound","flower-mound",,"57","53"
"Florida->Fort Lauderdale","fort-lauderdale",,"78","79"
"New Jersey->Fort Lee","fort-lee",,"144","151"
"Texas->Forth Worth","forth-worth",,"57","43"
"New Jersey->Franklin Lakes","franklin-lakes",,"144","183"
"Maryland->Frederick","frederick",,"90","92"
"New Jersey->Freehold","freehold",,"144","170"
"Texas->Frisco","frisco",,"57","46"
"New York->Garden City","garden-city",,"101","113"
"Texas->Garland","garland",,"57","47"
"New Jersey->Glen Rock","glen-rock",,"144","195"
"Texas->Grapevine","grapevine",,"57","55"
"New York->Greenburgh","greenburgh",,"101","120"
"Connecticut->Greenwich","greenwich",,"67","72"
"Guides","guides",,0,"3"
"New Jersey->Hackensack","hackensack",,"144","152"
"New Jersey->Hamilton","hamilton",,"144","172"
"New York->Harrison","harrison",,"101","114"
"New York->Hawthorne","hawthorne",,"101","108"
"New York->Hempstead","hempstead",,"101","139"
"Texas->Highland Park","highland-park",,"57","56"
"New Jersey->Hoboken","hoboken",,"144","171"
"New Jersey->Holmdel","holmdel",,"144","192"
"Texas->Houston","houston",,"57","49"
"Illinois","illinois",,0,"86"
"Indiana","indiana",,0,"88"
"Indiana->Indianapolis","indianapolis",,"88","89"
"Texas->Irving","irving",,"57","48"
"Florida->Jacksonville","jacksonville",,"78","80"
"New Jersey->Jersey City","jersey-city",,"144","153"
"Texas->Keller","keller",,"57","54"
"New Jersey->Kinnelon","kinnelon",,"144","194"
"New Jersey->Livingston","livingston",,"144","154"
"New York->Long Island","long-island",,"101","143"
"California->Los Angeles","los-angeles",,"58","60"
"New Jersey->Madison","madison",,"144","155"
"New York->Mamaroneck","mamaroneck",,"101","129"
"New York->Manhattan","manhattan",,"101","106"
"Mansfield","mansfield",,0,"50"
"New Jersey->Maplewood","maplewood",,"144","204"
"Maryland","maryland",,0,"90"
"Massachusetts","massachusetts",,0,"95"
"New York->Massapequa","massapequa",,"101","131"
"New York->Melville","melville",,"101","115"
"New York->Merrick","merrick",,"101","130"
"Arizona->Mesa","mesa",,"35","38"
"Florida->Miami","miami",,"78","81"
"Michigan","michigan",,0,"97"
"New Jersey->Millburn","millburn",,"144","181"
"New Jersey->Morristown","morristown",,"144","156"
"New York->Mount Pleasant","mount-pleasant",,"101","138"
"Guides->Moving Guide->Moving Career","moving-career",,"14","24"
"Tips->Moving Tips->Moving Career","moving-career-moving-tips",,"8","32"
"Checklist->Moving Checklist","moving-checklist",,"17","18"
"Tips->Moving Tips->Moving Expense Tips","moving-expense-tips",,"8","9"
"Guides->Moving Guide->Moving Expense Tips","moving-expense-tips-moving-guide",,"14","21"
"Guides->Moving Guide","moving-guide",,"3","14"
"Guides->Moving Guide->Moving Mistakes","moving-mistakes",,"14","15"
"Moving News","moving-news",,0,"7"
"News->Moving News","moving-news-news",,"25","26"
"Tips->Moving Tips->Moving Option","moving-option",,"8","27"
"Guides->Moving Guide->Moving Options","moving-options",,"14","20"
"Guides->Packing Guide->Moving Options","moving-options-packing-guide",,"16","23"
"Tips->Moving Tips","moving-tips",,"4","8"
"New Jersey->New Brunswick","new-brunswick",,"144","168"
"Connecticut->New Canaan","new-canaan",,"67","74"
"New York->New Castle","new-castle",,"101","137"
"New York->New City","new-city",,"101","128"
"Connecticut->New Haven","new-haven",,"67","69"
"New Jersey","new-jersey",,0,"144"
"New York->New Rochelle","new-rochelle",,"101","110"
"New York","new-york",,0,"101"
"New York->New York City","new-york-city",,"101","107"
"News","news",,0,"25"
"Checklist->Moving Checklist->Office Moving Checklist","office-moving-checklist",,"18","19"
"Guides->Moving Guide->Office Moving Options","office-moving-options",,"14","22"
"Tips->Moving Tips->Office Moving Tips","office-moving-tips",,"8","33"
"New York->Orangetown","orangetown",,"101","126"
"Florida->Orlando","orlando",,"78","82"
"Guides->Out of State Moving Guide","out-of-state-moving-guide",,"3","5"
"Tips->Out of State Moving Tips","out-of-state-moving-tips",,"4","11"
"Guides->Packing Guide","packing-guide",,"3","16"
"Tips->Moving Tips->Packing Tips","packing-tips",,"8","10"
"New Jersey->Paramus","paramus",,"144","157"
"New Jersey->Parsippany","parsippany",,"144","166"
"New Jersey->Paterson","paterson",,"144","173"
"New York->Pearl River","pearl-river",,"101","135"
"Pennsylvania","pennsylvania",,0,"99"
"Pennsylvania->Philadelphia","philadelphia",,"99","100"
"Arizona->Phoenix","phoenix",,"35","36"
"Guides->Out of State Moving Guide->Places to Move","places-to-move",,"5","6"
"Tips->Out of State Moving Tips->Places to Move","places-to-move-out-of-state-moving-tips",,"11","12"
"New York->Plainview","plainview",,"101","117"
"Texas->Plano","plano",,"57","44"
"New York->Port Washington","port-washington",,"101","123"
"New Jersey->Princeton","princeton",,"144","175"
"New Jersey->Ramsey","ramsey",,"144","158"
"New Jersey->Randolph","randolph",,"144","196"
"New Jersey->Readington","readington",,"144","200"
"New Jersey->Red Bank","red-bank",,"144","165"
"New Jersey->Ridgefield","ridgefield",,"144","159"
"New Jersey->Ridgewood","ridgewood",,"144","187"
"Maryland->Rockville","rockville",,"90","93"
"New York->Rockville Center","rockville-center",,"101","125"
"New York->Rye","rye",,"101","112"
"New Jersey->Saddle River","saddle-river",,"144","185"
"Texas->San Antonio","san-antonio",,"57","45"
"California->San Diego","san-diego",,"58","61"
"California->San Francisco","san-francisco",,"58","62"
"New York->Scarsdale","scarsdale",,"101","118"
"New Jersey->Scotch Plains","scotch-plains",,"144","180"
"Arizona->Scottsdale","scottsdale",,"35","37"
"New Jersey->Secaucus","secaucus",,"144","202"
"New Jersey->Somerdale","somerdale",,"144","205"
"New York->Somers","somers",,"101","121"
"New Jersey->South Orange","south-orange",,"144","199"
"Texas->Southlake","southlake",,"57","51"
"New York->Spring Valley","spring-valley",,"101","142"
"New Jersey->Springfield","springfield",,"144","160"
"Florida->St. Petersburg","st-petersburg",,"78","84"
"Connecticut->Stamford","stamford",,"67","70"
"New York->Staten Island","staten-island",,"101","111"
"Tips->Moving Tips->Storage Tips","storage-tips",,"8","31"
"New York->Suffern","suffern",,"101","105"
"New Jersey->Summit","summit",,"144","182"
"New York->Syosset","syosset",,"101","116"
"Florida->Tallahassee","tallahassee",,"78","85"
"Florida->Tampa","tampa",,"78","83"
"New York->Tarrytown","tarrytown",,"101","103"
"New Jersey->Teaneck","teaneck",,"144","203"
"New Jersey->Tenafly","tenafly",,"144","186"
"Texas","texas",,0,"57"
"Tips","tips",,0,"4"
"Uncategorized","uncategorized",,0,"1"
"New Jersey->Union","union",,"144","161"
"New Jersey->Verona","verona",,"144","198"
"Massachusetts->Waltham","waltham",,"95","96"
"New York->Wantagh","wantagh",,"101","134"
"New Jersey->Warren","warren",,"144","188"
"New Jersey->Wayne","wayne",,"144","162"
"New Jersey->West Orange","west-orange",,"144","201"
"New Jersey->West Windsor","west-windsor",,"144","191"
"New Jersey->Westfield","westfield",,"144","190"
"Connecticut->Westport","westport",,"67","73"
"New York->White Plains","white-plains",,"101","109"
"Delaware->Wilmington","wilmington",,"76","77"
"New Jersey->Woodbridge","woodbridge",,"144","163"
"New York->Woodmere","woodmere",,"101","141"
"New Jersey->Wyckoff","wyckoff",,"144","189"
"New York->Yonkers","yonkers",,"101","104"
"New York->Yorktown Heights","yorktown-heights",,"101","132"
"Texas->Addison","addison",,"57","52"
"Tips->Moving Tips->After Moving Tips","after-moving-tips",,"8","28"
"Checklist->Moving Checklist->After Moving Tips","after-moving-tips-moving-checklist",,"18","30"
"Arizona","arizona",,0,"35"
"Texas->Arlington","arlington",,"57","40"
"Illinois->Aurora","aurora",,"86","87"
"Texas->Austin","austin",,"57","41"
"Maryland->Baltimore","baltimore",,"90","91"
"New Jersey->Basking Ridge","basking-ridge",,"144","184"
"New Jersey->Bayonne","bayonne",,"144","178"
"New York->Bellmore","bellmore",,"101","133"
"New Jersey->Belmar","belmar",,"144","174"
"New Jersey->Berkeley Heights","berkeley-heights",,"144","177"
"Maryland->Bowie","bowie",,"90","94"
"New Jersey->Branchburg","branchburg",,"144","197"
"Connecticut->Bridgeport","bridgeport",,"67","68"
"New Jersey->Bridgewater","bridgewater",,"144","145"
"New York->Bronxville","bronxville",,"101","119"
"New York->Brooklyn","brooklyn",,"101","102"
"Guides->Budget Moving","budget-moving",,"3","13"
"California","california",,0,"58"
"California->California","california-california",,"58","59"
"New York->Carmel","carmel",,"101","127"
"New Jersey->Chatham","chatham",,"144","146"
"Checklist","checklist",,0,"17"
"New Jersey->Cherry Hill","cherry-hill",,"144","206"
"New York->Clarkstown","clarkstown",,"101","140"
"Colorado","colorado",,0,"63"
"Colorado->Colorado","colorado-colorado",,"63","64"
"Colorado->Colorado Springs","colorado-springs",,"63","66"
